"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";150;"	";1;"	";398;"	";6686;"	";0.02
25;"	";242;"	";1;"	";463;"	";21538;"	";0.04
30;"	";340;"	";1;"	";481;"	";37291;"	";0.04
35;"	";486;"	";1;"	";572;"	";146630;"	";0.03
40;"	";608;"	";1;"	";525;"	";356713;"	";0.02
45;"	";786;"	";1;"	";591;"	";621196;"	";0.03
50;"	";982;"	";1;"	";653;"	";1325454;"	";0.04
55;"	";1196;"	";1;"	";623;"	";1580680;"	";0.04
60;"	";1370;"	";1;"	";638;"	";4123828;"	";0.1
65;"	";1658;"	";1;"	";669;"	";5878626;"	";0.14
70;"	";1888;"	";1;"	";749;"	";11947339;"	";0.26
75;"	";2204;"	";1;"	";674;"	";20262751;"	";0.41
80;"	";2508;"	";1;"	";777;"	";27305659;"	";0.55
85;"	";2774;"	";1;"	";777;"	";46533391;"	";0.94
90;"	";3178;"	";1;"	";696;"	";61293672;"	";1.34
95;"	";3586;"	";1;"	";748;"	";77466826;"	";1.37
100;"	";3898;"	";1;"	";773;"	";155454954;"	";2.71
;;;;;;;;;;
;;;;"Constructiva";;;;;;
;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";150;"	";0;"	";398;"	";264;"	";0
25;"	";242;"	";0;"	";434;"	";324;"	";0
30;"	";340;"	";0;"	";437;"	";490;"	";0
35;"	";486;"	";0;"	";531;"	";470;"	";0
40;"	";608;"	";0;"	";486;"	";570;"	";0
45;"	";786;"	";0;"	";546;"	";646;"	";0
50;"	";982;"	";0;"	";590;"	";793;"	";0
55;"	";1196;"	";0;"	";546;"	";776;"	";0
60;"	";1370;"	";0;"	";449;"	";933;"	";0
65;"	";1658;"	";0;"	";546;"	";983;"	";0
70;"	";1888;"	";0;"	";651;"	";1258;"	";0
75;"	";2204;"	";0;"	";627;"	";1184;"	";0
80;"	";2508;"	";0;"	";688;"	";1173;"	";0
85;"	";2774;"	";0;"	";568;"	";1253;"	";0
90;"	";3178;"	";0;"	";630;"	";1704;"	";0
95;"	";3586;"	";0;"	";732;"	";1702;"	";0
100;"	";3898;"	";0;"	";678;"	";1779;"	";0
