"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";88;"	";1;"	";811;"	";4836;"	";0.02
25;"	";134;"	";1;"	";675;"	";48747;"	";0.06
30;"	";202;"	";1;"	";734;"	";340236;"	";0.06
35;"	";272;"	";1;"	";707;"	";442283;"	";0.03
40;"	";354;"	";1;"	";940;"	";2015773;"	";0.08
45;"	";452;"	";1;"	";923;"	";3391158;"	";0.1
50;"	";546;"	";1;"	";836;"	";25086079;"	";0.73
55;"	";664;"	";1;"	";1038;"	";38269266;"	";1.04
60;"	";800;"	";1;"	";931;"	";46385540;"	";1.22
65;"	";918;"	";1;"	";1026;"	";261411078;"	";6.41
70;"	";1074;"	";1;"	";1152;"	";437442717;"	";9.99
;;;;;;;;;;
;;;;"Constructiva";;;;;;
;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";88;"	";0;"	";811;"	";311;"	";0
25;"	";134;"	";0;"	";662;"	";376;"	";0
30;"	";202;"	";0;"	";734;"	";505;"	";0
35;"	";272;"	";0;"	";641;"	";491;"	";0
40;"	";354;"	";0;"	";847;"	";644;"	";0
45;"	";452;"	";0;"	";881;"	";752;"	";0
50;"	";546;"	";0;"	";656;"	";708;"	";0
55;"	";664;"	";0;"	";836;"	";961;"	";0
60;"	";800;"	";0;"	";704;"	";1011;"	";0
65;"	";918;"	";0;"	";783;"	";919;"	";0
70;"	";1074;"	";0;"	";921;"	";1184;"	";0
