"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";202;"	";1;"	";98;"	";5222;"	";0.02
25;"	";310;"	";1;"	";111;"	";15486;"	";0.03
30;"	";450;"	";1;"	";131;"	";35958;"	";0.04
35;"	";634;"	";1;"	";147;"	";65422;"	";0.04
40;"	";828;"	";1;"	";150;"	";138869;"	";0.02
45;"	";1042;"	";1;"	";152;"	";203473;"	";0.02
50;"	";1302;"	";1;"	";153;"	";336012;"	";0.02
55;"	";1556;"	";1;"	";154;"	";648544;"	";0.02
60;"	";1852;"	";1;"	";173;"	";935404;"	";0.03
65;"	";2186;"	";1;"	";175;"	";1679410;"	";0.04
70;"	";2524;"	";1;"	";166;"	";2117279;"	";0.05
75;"	";2880;"	";1;"	";185;"	";2044258;"	";0.05
80;"	";3360;"	";1;"	";191;"	";3810810;"	";0.07
85;"	";3688;"	";1;"	";187;"	";5757019;"	";0.11
90;"	";4194;"	";1;"	";201;"	";7978197;"	";0.15
95;"	";4726;"	";1;"	";200;"	";9192279;"	";0.16
100;"	";5256;"	";1;"	";195;"	";13701832;"	";0.24
;;;;;;;;;;
;;;;"Constructiva";;;;;;
;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";202;"	";0;"	";98;"	";220;"	";0
25;"	";310;"	";0;"	";90;"	";297;"	";0
30;"	";450;"	";0;"	";114;"	";368;"	";0
35;"	";634;"	";0;"	";111;"	";403;"	";0
40;"	";828;"	";0;"	";144;"	";539;"	";0
45;"	";1042;"	";0;"	";118;"	";518;"	";0
50;"	";1302;"	";0;"	";106;"	";556;"	";0
55;"	";1556;"	";0;"	";108;"	";807;"	";0
60;"	";1852;"	";0;"	";121;"	";778;"	";0
65;"	";2186;"	";0;"	";124;"	";736;"	";0
70;"	";2524;"	";0;"	";131;"	";875;"	";0
75;"	";2880;"	";0;"	";185;"	";1002;"	";0
80;"	";3360;"	";0;"	";145;"	";976;"	";0
85;"	";3688;"	";0;"	";127;"	";1009;"	";0
90;"	";4194;"	";0;"	";164;"	";1334;"	";0
95;"	";4726;"	";0;"	";132;"	";1353;"	";0
100;"	";5256;"	";0;"	";156;"	";1398;"	";0
