"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";90;"	";1;"	";2151;"	";12572;"	";0.03
25;"	";132;"	";1;"	";2072;"	";35435;"	";0.04
30;"	";202;"	";1;"	";2143;"	";128212;"	";0.04
35;"	";268;"	";1;"	";2516;"	";556970;"	";0.12
40;"	";342;"	";1;"	";2598;"	";1521640;"	";0.06
45;"	";454;"	";1;"	";2544;"	";2590089;"	";0.08
50;"	";522;"	";1;"	";3162;"	";12489465;"	";0.37
55;"	";676;"	";1;"	";2728;"	";38693348;"	";1.02
60;"	";774;"	";1;"	";3069;"	";103039365;"	";2.86
65;"	";920;"	";1;"	";3318;"	";250364716;"	";6.07
70;"	";1080;"	";1;"	";3149;"	";501270305;"	";11.54
;;;;;;;;;;
;;;;"Constructiva";;;;;;
;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";90;"	";0;"	";1990;"	";238;"	";0
25;"	";132;"	";0;"	";1842;"	";369;"	";0
30;"	";202;"	";0;"	";1744;"	";442;"	";0
35;"	";268;"	";0;"	";2138;"	";538;"	";0
40;"	";342;"	";0;"	";2572;"	";681;"	";0
45;"	";454;"	";0;"	";2353;"	";729;"	";0
50;"	";522;"	";0;"	";2741;"	";833;"	";0
55;"	";676;"	";0;"	";2563;"	";1063;"	";0
60;"	";774;"	";0;"	";2860;"	";1150;"	";0
65;"	";920;"	";0;"	";2622;"	";1086;"	";0
70;"	";1080;"	";0;"	";2644;"	";1243;"	";0
