"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";198;"	";1;"	";1037;"	";4556;"	";0.02
25;"	";306;"	";1;"	";1344;"	";10000;"	";0.02
30;"	";454;"	";1;"	";1096;"	";25499;"	";0.04
35;"	";656;"	";1;"	";1162;"	";59359;"	";0.03
40;"	";834;"	";1;"	";1152;"	";99211;"	";0.02
45;"	";1006;"	";1;"	";1291;"	";236878;"	";0.02
50;"	";1314;"	";1;"	";1470;"	";287508;"	";0.02
55;"	";1558;"	";1;"	";1431;"	";408212;"	";0.02
60;"	";1912;"	";1;"	";1403;"	";579387;"	";0.02
65;"	";2216;"	";1;"	";1448;"	";1182305;"	";0.04
70;"	";2560;"	";1;"	";1480;"	";1610229;"	";0.04
75;"	";2900;"	";1;"	";1606;"	";3205108;"	";0.1
80;"	";3350;"	";1;"	";1489;"	";2911305;"	";0.07
85;"	";3784;"	";1;"	";1902;"	";5212837;"	";0.11
90;"	";4242;"	";1;"	";1658;"	";6345929;"	";0.13
95;"	";4682;"	";1;"	";1762;"	";10574061;"	";0.21
100;"	";5236;"	";1;"	";1882;"	";12307630;"	";0.26
;;;;;;;;;;
;;;;"Constructiva";;;;;;
;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";198;"	";0;"	";1037;"	";251;"	";0
25;"	";306;"	";0;"	";1193;"	";308;"	";0
30;"	";454;"	";0;"	";923;"	";410;"	";0
35;"	";656;"	";0;"	";1074;"	";488;"	";0
40;"	";834;"	";0;"	";1152;"	";605;"	";0
45;"	";1006;"	";0;"	";926;"	";740;"	";0
50;"	";1314;"	";0;"	";1289;"	";786;"	";0
55;"	";1558;"	";0;"	";1199;"	";865;"	";0
60;"	";1912;"	";0;"	";1161;"	";889;"	";0
65;"	";2216;"	";0;"	";1391;"	";1087;"	";0
70;"	";2560;"	";0;"	";1466;"	";1103;"	";0
75;"	";2900;"	";0;"	";1577;"	";1343;"	";0
80;"	";3350;"	";0;"	";1052;"	";1156;"	";0
85;"	";3784;"	";0;"	";1511;"	";1659;"	";0
90;"	";4242;"	";0;"	";1430;"	";1658;"	";0
95;"	";4682;"	";0;"	";1527;"	";1913;"	";0
100;"	";5236;"	";0;"	";1805;"	";1899;"	";0
